organisationunitname,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category
Mainga Health Centre,129.0,Critical
Kenyatta National Hospital,123.0,Critical
Kitale County Referral Hospital,109.0,Critical
Kitengela Sub-County Hospital,93.0,Critical
Jaramogi Oginga Odinga Teaching & Referral Hospital,89.0,Critical
Mama Lucy Kibaki Hospital (Embakasi),89.0,Critical
Nakuru Provincial General Hospital,88.0,Critical
Rachuonyo County Hospital,85.0,Critical
Coast General Teaching and Referral Hospital,82.0,Critical
Lodwar County Referral Hospital,74.0,Critical
Rhamudimtu Health Centre,72.0,Critical
Bungoma County Referral Hospital,70.0,Critical
Busia County Referral Hospital,68.0,Critical
Kericho County Referral Hospital,67.0,Critical
Machakos Level 5 Hospital,63.0,Critical
Kisumu County Hospital,62.0,Critical
Kiambu County Referal Hospital,61.0,Critical
Lumumba Sub County Hospital,61.0,Critical
Baraka Dispensary (Nairobi),59.0,Critical
Kilifi County Hospital,58.0,Critical
Coptic Hospital,57.0,Critical
Mbagathi County Referral Hospital,57.0,Critical
Penda Medical Care (Kahawa West),57.0,Critical
Thika Level 5 Hospital,56.0,Critical
Kisii Teaching And Referral Hospital (Level 6),50.0,Critical
Malindi Sub-County Hospital,49.0,Critical
Royalstar Family Hospital,49.0,Critical
Migori County Referral Hospital,48.0,Critical
Webuye Hospital,48.0,Critical
Naivasha District Hospital,46.0,Critical
Riruta Hospital,46.0,Critical
Ongata Rongai Sub County Hospital,44.0,Critical
Ruiru Sub-County Hospital,44.0,Critical
BHESP MOWLEM DICE CLINIC,43.0,Critical
Mvoi Medical Clinic,42.0,Critical
Ngong Sub-County Hospital,41.0,Critical
St Mary's Hospital (Mumias),40.0,Severe
Barut Dispensary,39.0,Severe
Narok County Referral Hospital,39.0,Severe
Rongo Sub County Hospital,39.0,Severe
Kakamega County General Hospital,37.0,Severe
Kapkatet Sub County Hospital,37.0,Severe
Kitui County Referral Hospital,37.0,Severe
Tumaini Medical Clinic (Thika West),37.0,Severe
Homa Bay County Teaching and Referral Hospital,36.0,Severe
Teso North Sub County Hospital,36.0,Severe
Bondo County Referral Hospital,35.0,Severe
Kangemi Health Centre,35.0,Severe
Kayole II Sub County Hospital,35.0,Severe
Ahero County Hospital,34.0,Severe
Huruma Lions Health Centre,34.0,Severe
Kajiado County Referral Hospital,34.0,Severe
Kimbimbi Sub-County Hospital,34.0,Severe
Kombewa County Referral Hospital,34.0,Severe
Verna Health Centre,34.0,Severe
Wangige Sub-County Hospital,34.0,Severe
Likoni Subcounty Hospital,33.0,Severe
Live With Hope Dispensary,33.0,Severe
Special Treatment Clinic,33.0,Severe
Loitokitok Sub County Hospital,32.0,Severe
Njoro Subcounty Hospital,32.0,Severe
Bomu Medical Hospital (Changamwe),31.0,Severe
EDARP Donholm Clinic,31.0,Severe
Makindu Sub County Hospital,31.0,Severe
Mukuru Health Centre,31.0,Severe
Njiru Hospital,31.0,Severe
Msambweni County Referral Hospital,30.0,Severe
Mukumu Hospital,30.0,Severe
Ambira Sub-County Hospital,29.0,Severe
EDARP Soweto Health Centre,29.0,Severe
Kibera Community Health Centre (Amref),29.0,Severe
Shimo-La Tewa Health Centre (GK Prison),29.0,Severe
Beacon of Hope Clinic (Ongata Rongai),28.0,Severe
Londiani Sub County Hospital,28.0,Severe
Ndhiwa Sub County Hospital,28.0,Severe
Oresi Sub County Hospital,28.0,Severe
St Joseph Mission Hospital,28.0,Severe
Dandora II Health Centre,27.0,Severe
Kangundo Sub county Hospital,27.0,Severe
Kayole I Health Centre,27.0,Severe
Makadara Hospital,27.0,Severe
Meru Teaching And Referral Hospital,27.0,Severe
Mtwapa Sub County Hospital,27.0,Severe
Nyeri Provincial General Hospital (PGH),27.0,Severe
Port Reitz Sub County Hospital,27.0,Severe
Chulaimbo County Hospital,26.0,Severe
Consolata Mission Hospital Nkubu,26.0,Severe
Kariobangi Health Centre,26.0,Severe
Kenyatta University Teaching Refferal and Research Hospital,26.0,Severe
Langata Subcounty Hospital (Mugumoini),26.0,Severe
Matuu Level 4 Hospital,26.0,Severe
Mavoko Level 4 Hospital,26.0,Severe
Mwingi Level IV Hospital,26.0,Severe
Tom Mboya Dispensary,26.0,Severe
Fanaka Medical Centre,25.0,Severe
Isinya Health Centre,25.0,Severe
Kayole Soweto Dispensary,25.0,Severe
Lolgorian Sub County Hospital,25.0,Severe
Nambale Sub County Hospital,25.0,Severe
Ngaira Rhodes Dispensary,25.0,Severe
